"SKU","DESCRIPTION","SKU_FAMILY","BOX_CODE"
"C317C","KIT,MSE,WRLES,RED,MAL,WM311","Keyboard/Mouse",""
"KM90K","BDG,1420,WIN7,BZL,9333","Miscellaneous",""
"95629","ASSY,SPKR,3209,CBG 7610","Miscellaneous","02087_A07"
"26762","BTRY,CCC,KYBD,2C,LITH,SIMPLO","Battery",""
"PG42P","KYBD,81,N-EEUR,X14SB","Keyboard/Mouse",""
"56245","ASSY,CBL,XPNDR,DUO,2.5,VRTX","Cable","Envelope"
"2G922","ASSY,CBL,CNTL,PLN-BP,R1232L","Cable","Envelope"
"HF95H","FAN,COOLING,SCANR,24V,5535DN","FAN",""
"98119","SUBASSY,HD,40GB,5.4K,SE080,K2","HDD",""
"N448N","MOD,LBL,7737,PLMRST3,SCHI,T","Miscellaneous",""
"4W154","BZL,LCD,W/CMRA,EXCH,N5110","Plastics","4U500B"
"7Y107","PRC,X2,245,2.9,512X2,2C,C3","PRC","GKCMD"
"GN31G","ASSY,PWA,PLN,I78750H,4,P1,BCCI","Motherboards","4U500"
"YK79Y","ASSY,SPKR,5070","Miscellaneous","02087_A07"
"JG34J","SVC,SWT,N3224PX-ON,OS6","PWR CNT",""
"JJ30J","CUS,BZL,ASSY,PS4100","Miscellaneous",""
"40964","ASSY,CRD,PLN,TMD,XPS600-S","Motherboards",""
"UP40U","FOAM,SPRT,CPU,WTX","Miscellaneous",""
"45674","KIT,SW,LKEY,AIM,V3,16S","SW",""
"F223F","DIMM,8GB,3200,1RX16,16,DDR4,NU","Memory","GKCMD"
"KK95K","CRD,PLN,AIO,MB,I510210U,D,BCC","Motherboards","4U500"
"C173C","DIS,19.5,P2016,BLK,BCC","FPD",""
"KX32K","ASSY,LCD,HUD,UHD,TCH,20TH,5520","HUD","4U500"
"PX10P","ASSY,CBL,AOC,Q28DD,2X100G,10M","Cable","CFX79"
"00310","CDSK,W2KSV,SP4,ENG","SW",""
"JF16J","ASSY,PWA,PTT,D,VI5-8365,TBT,35","Motherboards",""
"39163","SVC,SCR,M2.5X6.0-I,NYLOK,RKT","Mechanical","Envelope"
"81568","PWR SPLY,SFF,180W,EPA,PLA,FLEX","PWR SPLY","9U307"
"69496","SVC,PWA,I3-3227U,SIM,3360,W8H","Motherboards",""
"8N848","MOD,PWR SPLY,SINGLE,525W,DELTA","Miscellaneous",""
"3N563","MOD,MDM,MBLBB,5600,SPRNT,M09,L","Miscellaneous",""
"TK68T","ASSY,PWA,DTRBD,INVRTR,L412Z","DB","GKCMD"
"5C495","ASSY,BASE,DIS,S2721NXM,APCC","FPD",""
"NC74N","MOD,PRC,SNB,I7-2620M,2.7,L502X","PRC",""
"MW17M","ASSY,BASE,DIS,U4919DW,ANZ","FPD",""
"DF15D","ASSY,BASE,DIS,P2419H,EMEA,WOST","FPD",""
"P454P","SVC,PLN,AIO,MB,UMA,2020,W8H","Motherboards",""
"97649","ASSY,PRM,233,512,OPTI,NONEC,NX","PRC",""
"M534M","PWA,PLN,T,U,VI5-1145,L3,IMPT,3","Motherboards","4U500"
"9C359","MOD,MDM,MBLBB,DW5530,D430,NZ","Miscellaneous",""
"48824","MOD,MDM,DON,INT,DFAX,DIM,DAO","Miscellaneous",""
"YC65Y","MOD,HD,2T,S3,7.2K,512E,#1,GRDA","HDD",""
"5H845","KIT,SW,VHP64SP1,DVD,SCHI","SW",""
"79967","SVC,UPS,2200V,12A,PDU,120V","Miscellaneous",""
"G047G","SVC,PLN,DTP,2.4G,X64,5130,W8H","Motherboards",""
"8N918","MOD,LKEY,VFLT,1YR,2-SKT","Miscellaneous",""
"TY76T","CUS,SERV,SMTN5020F,CAN,ON24X","Miscellaneous",""
"0C290","SVC,PRC,350M,512K,SLOT 1","PRC",""
"5M125","ASSY,SPKR,2W,4OHM,LOKI14 N5","Miscellaneous",""
"16551","ASSY,PWA,ENG,NBK,D510,915GM","Motherboards","4U500"
"V390V","ASSY,FAN,VARY-SPEED,C300,D","FAN","02087_A07"
"8R898","KIT,KYBD,105,ESTON,KB813,LTON","Keyboard/Mouse",""
"T662T","ASSY,BASE,DIS,S3220DGF,EM,E5","FPD",""
"PX61P","ASSY,BASE,DIS,E1916HV,DAO","FPD",""
"99529","CRD,PLN,PESC440","Motherboards",""
"26442","GDE,PROD,INFO,PWRCNT,DAO/BCC","Mechanical",""
"D421D","ASSY,BASE,8F/4R,5010,THINOS","Base Unit",""
"0R550","SI,FEE,IMG/LBL/RPT,BCCM73","Miscellaneous",""
"XM92X","CBL,CNTL,BK-LT,LG,4K2K,7440","Cable","Envelope"
"HJ84H","ASSY,CBL,PWR,I2C,X4","Cable","Envelope"
"8T168","ASSY,PWA,PTT,D,VI5-1040,T,3551","Motherboards",""
"DC35D","MOD,INFO,CHAS,BLACK,M18X","Miscellaneous",""
"YY59Y","ASSY,ENCL,BAY,FAN,R730","Mechanical",""
"9F639","DIS,FPL,19,1908FPC,T0,EMEA","FPD",""
"2D832","MOD,SW,PDVD,BD-P,7.0,A2010","SW",""
"MK43M","ASSY,PWA,I7-8550,16G,DTP,9370","Motherboards",""
"87898","MOD,SW,WS8XTER2,INSTL,SP1,ENG","SW",""
"1G251","ASSY,FILLER,0HDD,R7525/R750","Miscellaneous",""
"86418","PLUG,DKH,15,DETACH,EU","Mechanical",""
"90409","SUBASSY,HD,40GB,5.4K,SIR,MOS","HDD",""
"M835M","KYBD,80,RUS,T14S1","Keyboard/Mouse",""
"FD53F","ASSY,BZL,BLU-R,SLV,W/SPNG,3450","Plastics",""
"6J186","LCD,17WXGA+,W/O,INVRTR,AG,LGP","LCD",""
"19621","HD,10T,SATA6,3.5,7.2K512E,HDCS","HDD",""
"HD21H","ASSY,MECH,FPERC,FLOD,15G","Mechanical","Envelope"
"NT42N","ASSY,BASE,DIS,P2719HC,TC,D,TW","FPD",""
"W811W","ASSY,HTSNK,FAN,7820T","Heatsink",""
"MJ83M","KIT,MSE/KYBD,UK,KM5221W,R,L","Keyboard/Mouse",""
"7F917","ASSY,PLMRST,BLK/T,BL,ARA,N3 17","Palmrest",""
"91949","SERV,CONTR,BASIC,DELL,4YR EXTD","Mechanical",""
"JC41J","ASSY,BASE,DIS,P3221D,MEX","FPD",""
"VY40V","SVC,MISC,SDCARD,B2375X","Miscellaneous",""
"56615","ASSY,CARR,BLTH,LNVZ","Mechanical",""
"70747","DIS,FPL,19,E197FPF,BLK,APCC/CC","FPD",""
"PX17P","ADPT,CON,DNGL,TYPECTOVGA","Adapter","Envelope"
"5F635","ASSY,BASE,DIS,U2718Q,CCC4","FPD",""
"21922","SI,DIMM,512,533M,64X64,8,240","Memory",""
"37543","ASSY,DOOR,MPCI,BTM,NMA","Mechanical","4U500B"
"RD38R","MDM,V90,INT,CTL,D/F/V,US,RS","Modem",""
"20442","SI,ACTC,MOD,INFO,LOAD,SW,3YR","SW",""
"VK67V","KIT,SW,SLES,11,SP3,X8664,MEDIA","SW",""
"86908","POWER SUPPLY INT &amp;amp;gt;150W &amp;amp;lt;500W","PWR SPLY",""
"3D363","ASSY,CHAS,W/O AV,FIRESTONE","Mechanical",""
"CX39C","ASSY,BRKT,MET,SWT,8024/F","Mechanical",""
"TR69T","FGA,XPS LPT XPS 9Q33,BTO","Base Unit",""
"PH50P","ASSY,HTSNK,DIS,5550/9500","Heatsink",""
"FM82F","SHP MTL,DESKTOP,3252,LILY SFF","Miscellaneous",""
"0J790","TSH,COMPCARE,JPN","Miscellaneous",""
"6G826","ASSY,CBL,SATA ODD,MB,TBU,T410","Cable","Envelope"
"NC23N","PWR SPLY,460W,EPA,BRZ,MT,LTON","PWR SPLY","9U307"
"PX21P","ASSY,KYBD,SLVR,NBL,TUR,N3","Keyboard/Mouse",""
"PN60P","ASSY,MECH,LIQD CLG,CIT,MX760C","Mechanical",""
"62326","BMPR,LCD,RBR,SIDE,ASLVR,C/S","Mechanical",""
"02410","CUS,CTRG,TONR,2K,1100","Miscellaneous",""
"2H552","KIT,SW,PDVD,8.1-00,BD-P,TT","SW","Envelope"
"FF13F","ASSY,PLMRST,ITL,BLK,1650","Palmrest",""
"22672","PWR SPLY,525W,EPA,UPC,DELTA","PWR SPLY","9U307"
"TV13T","PWA,CTL,I/O,LP,I10,2P,T520CR","Controller Card",""
"J950J","MOD,INFO,KYBD NOT FI,D3","Miscellaneous",""
"YP59Y","ASSY,CHAS,L6,ODD,BLK,410","Mechanical",""
"0R800","ASSY,HUB,MBLTY-CTL,W-7030,ROW","Router",""
"1X231","KYBD,81,ITL,M15NSC-BU,V2","Keyboard/Mouse",""
"94229","KYBD,105,USB,LTN,RPG,SLTEK","Keyboard/Mouse",""
"F384F","ASSY,CVR,BTM,SILVER,7420,ICC","Cover",""
"XV96X","ASSY,CAGE,FAN,R940","Mechanical",""
"6H486","ASSY,CRD,RSR4C,1X16FH,LL,1U15G","Card",""
"40794","MOD,LKEY,SMPA,DATA,RPLCTR","Miscellaneous",""
"CF77C","DIS,FPL,18.5,IN1920C,JPN","FPD",""
"VM10V","ASSY,CBL,NO-TCH,EDP,IRIS 14","Cable","Envelope"
"TW28T","KYBD,87,US,INT,L2,EMEA","Keyboard/Mouse",""
"VV15V","MYLAR,SCR,WHT,3162","Miscellaneous","Envelope"
"W812W","ASSY,SHRD,PLSTC,PRC,R250","Mechanical",""
"VP83V","ASSY,BRKT,CBL,ENET,PV114X,LTO6","Cable","Envelope"
"K263K","SVC,PLN,CEL1017U,TRPM,3330","Motherboards",""
"K523K","INSTR,QBQS,BCC,QB6,3450","Miscellaneous",""
"19281","ASSY,TPAD,INSP,MLA,5500","PAD","02087_A07"
"69406","SVC,PLN,GX240,OPPLX,ASUS,TSMT","Motherboards","4U500"
"0G560","ASSY,BTN,PWR,W/FPR,5300/V","Mechanical",""
"1J601","SI,DVD+/-RW,16X,IDE,NEC","Card",""
"4D864","MOD,SW,VEHE,DIB,4CPU,3","SW",""
"GF24G","ASSY,PWA,NBK,I74650,8,T,S,9Q33","Motherboards","4U500"
"34913","ASSY,DOOR,MEM,BTM,NMA","Mechanical","4U500B"
"45694","SUBASSY,HD,80G,5.4,ARSB,D620","HDD",""
"WH82W","ASSY,KYBD,80,W/PR,FR-EN,SL,NBL","Keyboard/Mouse",""
"7M247","ASSY,CBL,LVDS,LCD,M18X","Cable","Envelope"
"X931X","SSDR,512G,SATA,2.5,MICRON,M600","SSDR","GKCMD"
"46244","BASE,TKB,2.8G,GX260N,4W587,BCC","Base Unit",""
"R527R","FGA PROXY,PH222AD,BTS","Base Unit",""
"02970","ASSY,BASE,NBK,DISC,7520","Base Unit",""
"0C830","ADPT,AC,330W,DLTA,7.4,KURE","Adapter",""
"T855T","MOD,DIMM,6GB,1333MHZ,DDR3","Memory",""
"70217","ASSY,BZL,PLSTC,FRT,SC1425","Plastics","4U500"
"4M694","GDE,STUP,STUDIO,1440,ARA","Mechanical",""
"XR24X","ASSY,PWA,PTT,3090,CEL6305,NVPR","Motherboards",""
"NV46N","SI,STR,MOD,SYS TRACK BASIC 2YR","Miscellaneous",""
"JT21J","ADPT,AC,130W,CHNY,4.5,CCR,V2","Adapter","Envelope"
"FC28F","PLT,SSD,360WWAN,73/420V","Mechanical",""
"85158","SVC,LCD,14.1,SHARP,SXGA","LCD","4U500"
"UP75U","ADPT,AC,PWR,EXT,230V50H,KOR","Adapter",""
"F377F","MOD,LBL,INTEL,NB,CI7E","Miscellaneous",""
"N063N","ASSY,BASE,DIS,S2319HN,DAO,RTL","FPD",""
"3C973","LCD,15.4WXGA+,TL,AUO,1510/1511","LCD",""
"JV53J","ASSY,PLMRST,SC,TBT,5580/3520","Palmrest","4U500B"
"49484","CBL,8XSSD, RAID,DSS9600","Cable","Envelope"
"97509","MOD,CRD,GRPHC,ML114,VOSD,230","Card",""
"NC16N","ASSY,PWA,PLN,I34005U,UMA,VG,B","Motherboards","4U500"
"YN22Y","HD,500GB,USB,EXT,WIN8","HDD",""
"5G975","CUS,LKEY,SWT,FC8,8G,UPG,300,BR","PWR CNT",""
"2R592","SVC,ASY,BASE,I5,8,256,SP4,JP","Base Unit",""
"0V330","KIT,SPKR,SPA1305,PHILIPS,SNP","Miscellaneous",""
"3P293","CUS,MDM,56K-V90,PSION,V3,INSP","Modem",""
"T432T","BASE,SWT,24P,TBOIRN24","Base Unit",""
"06300","SWT BOX,P/I,Z9264F,OS10,ISILON","PWR CNT",""
"81838","ASSY,BASE,DIS,U2412M,WH,EMEA","FPD",""
"09590","ASSY,DS,IE,WD15,JPN,130W","Port Replicator",""
"26782","CUS,DVD+/-RW,16X,SATA,TSST,BLK","Miscellaneous",""
"98739","ASSY,CBL,DC IN,9Q23","Cable","Envelope"
"C359C","PRC,E52649V3,2.3,25M,HSL,M1","PRC",""
"TJ30T","MOD,CHAS,MT,7010,APFC,BCC,2","Mechanical",""
